,Feature,Coefficient,Abs_Coefficient
13,OverTime,0.9753242320875878,0.9753242320875878
35,JobRole_Laboratory Technician,0.7808082155911293,0.7808082155911293
25,BusinessTravel_Travel_Frequently,0.7179502661266298,0.7179502661266298
21,YearsAtCompany,0.6682892852046173,0.6682892852046173
22,YearsInCurrentRole,-0.6411882026927224,0.6411882026927224
43,MaritalStatus_Single,0.6255241701021087,0.6255241701021087
12,NumCompaniesWorked,0.5097360697665627,0.5097360697665627
41,JobRole_Sales Representative,0.5065419483680962,0.5065419483680962
23,YearsSinceLastPromotion,0.5008602479503685,0.5008602479503685
24,YearsWithCurrManager,-0.4627894396900061,0.4627894396900061
18,TotalWorkingYears,-0.4625451098629498,0.4625451098629498
26,BusinessTravel_Travel_Rarely,0.44124643778630585,0.44124643778630585
9,JobSatisfaction,-0.4334336717811817,0.4334336717811817
4,EnvironmentSatisfaction,-0.41264520602040183,0.41264520602040183
39,JobRole_Research Scientist,0.39899912122999176,0.39899912122999176
40,JobRole_Sales Executive,0.3868612029913886,0.3868612029913886
34,JobRole_Human Resources,0.35656345554461016,0.35656345554461016
7,JobInvolvement,-0.3397342990147035,0.3397342990147035
2,DistanceFromHome,0.3389706543500459,0.3389706543500459
29,EducationField_Life Sciences,-0.2917830090719097,0.2917830090719097
28,Department_Sales,0.27799413814682344,0.27799413814682344
38,JobRole_Research Director,-0.2735623915611115,0.2735623915611115
31,EducationField_Medical,-0.256401253627007,0.256401253627007
20,WorkLifeBalance,-0.2555185104657162,0.2555185104657162
0,Age,-0.24425303508234464,0.24425303508234464
5,Gender,0.21970196807228004,0.21970196807228004
42,MaritalStatus_Married,0.2092988996417355,0.2092988996417355
19,TrainingTimesLastYear,-0.20679052574303758,0.20679052574303758
10,MonthlyIncome,0.19331046487153608,0.19331046487153608
17,StockOptionLevel,-0.174517712576113,0.174517712576113
16,RelationshipSatisfaction,-0.17088165110486908,0.17088165110486908
37,JobRole_Manufacturing Director,0.16206667708344702,0.16206667708344702
33,EducationField_Technical Degree,0.12758327496064623,0.12758327496064623
32,EducationField_Other,-0.12713118883540805,0.12713118883540805
8,JobLevel,-0.11592217357070059,0.11592217357070059
1,DailyRate,-0.11215274346595172,0.11215274346595172
11,MonthlyRate,0.09274037694319096,0.09274037694319096
30,EducationField_Marketing,-0.09176780399358561,0.09176780399358561
3,Education,0.06555290480628821,0.06555290480628821
14,PercentSalaryHike,-0.052984257418586096,0.052984257418586096
27,Department_Research & Development,0.04874583168765039,0.04874583168765039
6,HourlyRate,0.034372460715568376,0.034372460715568376
36,JobRole_Manager,0.02470355150432135,0.02470355150432135
15,PerformanceRating,-0.020938629193445194,0.020938629193445194
